@relation velocity_m

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric

@data
5,4.004,0,6,32,4,0,6,3,0.85,642,0.8,0,0.947368,0.5,3,3,126.4,22,4.8,0
4,1.001,0,46,4,6,46,0,4,2,4,0,0,0,1,0,0,0,1,1,1
6,1.001,0,4,32,0,1,3,6,0.4,195,1,1,0,0.5,0,0,30.833333,3,1.1667,1
14,1.001,0,4,26,43,2,3,7,0.703297,309,1,1,0,0.346154,0,0,20.571429,5,2.2143,1
2,2.002,0,1,14,0,1,0,2,1,55,1,0,0.971429,0.75,1,1,25.5,1,0.5,0
3,2.002,0,13,14,0,10,3,2,0.75,88,0.5,1,0.6,0.466667,1,1,27.666667,1,0.6667,1
4,1.001,0,1,16,0,1,0,4,0.444444,77,1,0,0,0.625,0,0,17.5,2,1.25,1
8,1.001,0,6,8,28,4,2,8,2,8,0,0,0,0.325,0,0,0,1,1,1
6,1.001,0,16,57,15,0,16,5,1,437,1,0,0,0.4,0,0,71.666667,2,1.1667,0
0,1.001,0,58,0,0,55,4,0,2,0,0,0,0,0,0,0,0,0,0,1
3,4.004,0,7,23,3,0,7,3,1.5,188,1,0,0.964286,0.666667,2,4,59.666667,3,1.3333,0
4,2.002,0,10,20,6,4,8,4,2,131,0,0,0.931034,0.416667,1,1,31.75,1,0.5,1
3,3.003,0,0,12,0,0,0,2,0.333333,86,1,0,0.866667,0.666667,1,1,26.666667,2,1,0
3,1.001,0,6,3,3,2,4,3,1.5,5,0,0,0,0.583333,0,0,0,1,1,1
11,1.001,1,7,21,17,2,5,10,0.75,92,1,2,0,0.257576,0,0,7,2,1,1
38,1.001,2,40,40,703,3,37,38,1,296,1,1,0,0.074224,0,0,6.736842,1,0.9737,1
6,4.004,0,4,51,15,0,4,3,1.2,304,1,0,0.915254,0.366667,2,4,49.166667,1,0.8333,0
1,4.004,0,3,2,0,2,1,1,2,5,0,0,1,1,0,0,4,0,0,1
3,1.001,0,4,8,1,3,1,0,0.5,45,1,0,0,0.5,0,0,13.666667,2,0.6667,1
3,2.002,1,5,17,1,2,3,2,0.5,122,1,1,0.6,0.555556,1,2,39,3,1.3333,1
6,3.003,0,8,26,15,0,8,6,2,342,0,0,0.907407,0.5,2,2,56,1,0.8333,0
2,3.003,0,5,15,1,1,4,1,2,72,0,0,0.833333,0.8,2,5,35,3,1.5,1
2,2.002,0,5,8,0,1,4,2,0,33,1,0,0.973684,0.625,0,0,15,2,1,1
1,4.004,0,31,2,0,30,1,1,2,5,0,0,1,1,0,0,4,0,0,1
18,1.001,0,12,35,33,4,8,18,0.686275,144,0,3,0,0.238095,0,0,6.833333,2,1.0556,1
0,1.001,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1
3,3.003,0,6,15,1,0,6,3,0,61,1,0,0.960784,0.666667,3,3,18.666667,1,0.6667,0
11,1.001,0,14,41,0,2,12,10,0.654545,580,1,3,0,0.246753,0,0,50.727273,11,2.1818,1
4,1.001,2,6,5,0,5,1,4,0.666667,25,1,1,0,0.625,0,0,4.75,2,1,1
4,1.001,0,5,4,6,5,0,4,2,4,0,0,0,0.5,0,0,0,1,1,1
3,2.002,0,3,6,3,0,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
25,1.001,0,29,64,300,14,15,25,2,332,0,0,0,0.149091,0,0,12.28,8,1.28,1
10,1.001,0,3,40,39,0,3,4,0.962963,460,1,0,0,0.388889,0,0,44.7,4,2.1,1
2,1.001,0,3,2,1,2,2,2,2,2,0,0,0,1,0,0,0,1,1,1
5,2.002,0,4,10,8,1,4,5,0.875,34,0.5,0,0.9,0.4,0,0,5.4,1,0.6,1
3,4.004,0,8,23,3,0,8,3,1.5,130,1,0,0.964286,0.666667,2,4,40.666667,2,1,0
2,2.002,2,6,6,1,2,4,1,2,19,0,0,0.875,0.75,0,0,8.5,2,1,1
4,2.002,0,6,7,6,4,4,4,2,20,0,0,0.931034,0.416667,0,0,4,1,0.5,1
2,2.002,0,2,5,1,1,1,1,2,11,0,0,0.947368,0.833333,1,2,4.5,1,0.5,1
3,1.001,0,4,3,3,4,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,1
2,2.002,0,3,7,1,1,2,2,2,21,0,0,0.987179,0.666667,1,1,9.5,1,0.5,1
5,2.002,0,7,11,0,4,5,5,0.25,44,1,0,0.9,0.433333,0,0,7.6,1,0.6,0
5,2.002,0,16,33,0,4,14,5,0.5,245,1,1,0.9,0.466667,0,0,47.6,1,0.6,1
3,1.001,0,1,4,3,1,0,3,2,10,0,0,0,1,0,0,2.333333,1,0.6667,0
1,3.003,3,3,2,0,3,0,1,2,5,0,0,1,1,0,0,4,0,0,1
11,1.001,0,2,37,49,1,1,4,0.933333,680,0.25,0,0,0.233766,0,0,59.727273,60,9.8182,1
24,1.001,0,19,62,0,6,13,24,0,392,1,1,0,0.238636,0,0,15.291667,2,1,1
15,2.002,0,16,42,41,3,13,12,0.792857,445,1,1,0.333333,0.237037,0,0,28,3,1.2667,1
3,2.002,0,5,6,3,4,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
4,4.004,0,3,8,6,0,3,3,1.333333,62,1,0,0.947368,0.75,2,4,14,5,1.75,0
7,3.003,0,10,28,15,0,10,5,0.5,258,1,0,0.571429,0.428571,0,0,35.571429,1,0.8571,1
1,1.001,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,1
17,1.001,2,24,20,96,21,4,17,0.902778,120,1,2,0,0.235294,0,0,5.529412,3,1.0588,1
12,2.002,0,7,27,64,1,6,11,0.909091,86,1,0,0.914634,0.606061,1,1,6.083333,1,0.5833,1
4,2.002,0,10,10,6,4,8,4,2,37,0,0,0.931034,0.392857,1,1,8.25,1,0.5,1
5,2.002,0,10,11,10,4,8,5,2,32,0,0,0.9,0.371429,1,2,5.4,1,0.6,1
4,1.001,0,4,17,6,2,2,4,2,222,0,0,0,0.3125,0,0,54.5,14,6.75,1
4,3.003,0,12,25,6,0,12,4,1,238,1,0,0.727273,0.4375,1,1,58.25,1,0.75,1
4,4.004,0,4,8,6,0,4,4,2,67,0,0,0.964286,0.5,3,3,15.75,1,0.5,0
2,1.001,0,5,22,1,1,4,2,2,158,0,0,0,0.5,0,0,78,1,0.5,1
1,1.001,0,2,1,0,2,0,0,2,321,0,0,0,0,0,0,252,0,0,0
7,1.001,0,2,20,1,2,0,6,0,137,1,0,0,0.464286,0,0,18.285714,4,1,1
2,1.001,0,11,2,1,10,1,2,2,7,0,0,0,0.625,0,0,0,1,1,1
2,2.002,0,2,3,1,1,1,2,2,7,0,0,0.5,1,0,0,2.5,1,0.5,0
2,1.001,1,2,3,1,2,0,2,2,7,0,0,0,1,0,0,2.5,1,0.5,0
2,1.001,0,6,16,1,0,6,2,0,67,1,2,0,0.5,0,0,31.5,1,0.5,0
4,2.002,0,10,20,6,4,8,4,2,161,0,0,0.931034,0.416667,1,1,39.25,1,0.5,1
5,2.002,0,10,22,10,4,8,5,2,153,0,0,0.9,0.4,1,1,29.6,1,0.6,1
4,1.001,0,1,22,6,0,1,2,2,102,0,0,0,0.875,0,0,24.5,3,1.75,1
1,1.001,0,3,1,0,3,0,0,2,196,0,0,0,0,0,0,156,0,0,0
4,2.002,0,5,9,6,1,5,4,2,25,0,0,0.931034,0.392857,0,0,5.25,1,0.5,1
5,2.002,0,8,11,10,4,6,5,2,31,0,0,0.9,0.4,1,2,5.2,1,0.6,1
4,2.002,0,10,20,6,4,8,4,2,161,0,0,0.931034,0.416667,1,1,39.25,1,0.5,1
2,1.001,0,10,2,1,10,1,2,2,2,0,0,0,0.75,0,0,0,1,1,1
3,3.003,0,8,18,3,1,8,3,2,50,0,0,0.960784,0.666667,2,2,15.666667,1,0.6667,0
20,2.002,0,1,30,52,1,0,14,0.673684,378,0.7,0,0.448276,0.324561,1,2,17.4,4,1,1
2,1.001,0,5,14,1,1,4,2,2,55,0,0,0,0.5,0,0,26.5,1,0.5,1
3,2.002,0,5,6,3,4,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
1,1.001,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,1
37,2.002,0,39,46,660,1,38,35,0.013889,304,1,0,0.506849,0.078159,0,0,7.162162,4,1.0811,1
4,2.002,0,10,20,6,4,8,4,2,131,0,0,0.931034,0.416667,1,1,31.75,1,0.5,1
25,1.001,0,6,76,194,2,4,17,0.878788,508,0.727273,3,0,0.261905,0,0,18.88,5,1.16,1
5,2.002,0,5,10,10,1,4,5,2,32,0,0,0.833333,0.666667,0,0,5.4,1,0.8,1
4,1.001,0,2,5,0,2,0,4,0.333333,97,1,0,0,0.5,0,0,22.5,3,1.5,1
3,1.001,0,3,11,3,1,2,2,2,41,0,0,0,0.666667,0,0,12.666667,2,1,1
3,2.002,0,5,6,3,4,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
53,3.003,0,6,139,1188,5,3,50,0.834135,1625,1,1,0.395062,0.102273,0,0,29.509434,7,2.5094,0
1,3.003,0,3,9,0,2,1,1,2,27,0,0,1,1,0,0,26,0,0,1
7,2.002,0,12,24,0,4,10,7,0.611111,136,1,1,0.84375,0.303571,0,0,18,1,0.7143,1
2,1.001,0,28,41,1,0,28,2,2,332,0,0,0,0.5,0,0,165,1,0.5,0
13,2.002,1,14,17,66,10,4,13,0.75,95,1,1,0.47619,0.461538,0,0,6.230769,4,1.3846,1
6,3.003,0,2,19,15,2,0,4,1.12,184,0,0,0.8125,0.5,1,1,28.833333,14,2.8333,0
37,1.001,0,17,92,0,3,14,34,0.5,438,1,1,0,0.177778,1,1,10.783784,13,1.1622,1
5,2.002,0,10,22,10,4,8,5,2,153,0,0,0.9,0.4,1,1,29.6,1,0.6,1
30,1.001,0,10,60,435,0,10,30,2,133,0,0,0,0.133333,0,0,3.433333,1,0.9667,1
3,1.001,0,20,4,3,20,0,3,1.4375,23,0,2,0,0.5,0,0,4,2,1,0
0,1.001,0,6,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1
12,1.001,0,2,25,0,1,1,0,0.436364,218,1,0,0,0.395833,0,0,16.75,3,1.3333,0
24,1.001,0,2,36,0,1,1,21,0.504348,991,0.666667,0,0,0.3125,0,0,39.666667,7,1.5,1
3,2.002,0,5,19,1,1,5,1,0.5,82,1,0,0.9,0.5,0,0,26,2,1,0
3,2.002,0,3,6,3,0,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
6,1.001,0,5,19,0,1,4,6,0.5,61,1,1,0,0.458333,0,0,8.833333,1,0.8333,1
3,4.004,0,10,26,3,0,10,3,2,155,0,0,0.964286,0.666667,2,4,50.666667,2,1,0
28,1.001,0,67,28,378,60,11,28,2,28,0,0,0,0.238095,0,0,0,1,1,1
8,1.001,5,20,9,16,14,7,8,0.761905,40,1,1,0,0.3125,0,0,3.625,1,0.875,1
3,1.001,0,3,4,3,1,2,3,2,8,0,0,0,0.5,0,0,1.666667,1,0.6667,1
5,2.002,0,4,10,8,0,4,5,0.75,31,0,0,0.636364,0.44,0,0,5,1,0.8,1
13,4.004,0,24,76,38,0,24,10,0.833333,683,1,1,0.866667,0.5,2,2,50.461538,5,1.4615,1
4,1.001,0,6,10,6,1,5,4,2,34,0,0,0,0.5,0,0,7.5,1,0.75,1
5,2.002,0,8,12,8,4,6,5,0.75,38,1,0,0.9,0.4,0,0,6.4,1,0.6,1
24,1.001,0,44,24,276,38,6,24,2,24,0,0,0,0.244048,0,0,0,1,1,1
5,1.001,0,6,6,4,6,0,4,0.75,32,1,0,0,0.466667,0,0,4.8,1,0.6,1
5,4.004,0,8,21,10,0,8,3,1,110,0,0,0.947368,0.5,3,3,20.6,5,1.4,0
4,4.004,0,7,18,6,0,7,3,1,308,0,0,0.947368,0.5,0,0,75.5,2,1,0
14,2.002,0,21,61,29,7,16,13,0.789744,782,1,1,0.692308,0.253968,1,2,53.785714,18,2.2143,1
5,2.002,0,8,10,10,4,6,5,2,39,0,0,0.9,0.4,1,2,6.8,1,0.6,1
1,1.001,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,1
3,2.002,0,6,13,0,1,5,3,0,86,1,0,0.6,0.47619,1,2,27.333333,1,0.6667,1
0,1.001,0,6,0,0,6,0,0,2,7,0,0,0,0,0,0,0,0,0,0
5,2.002,0,8,11,10,4,6,5,2,52,0,0,0.9,0.4,1,1,9.4,1,0.6,1
5,3.003,0,6,18,4,0,6,5,0.375,105,1,1,0.924528,0.35,3,3,19.6,3,1.4,0
6,3.003,17,22,26,13,17,5,1,0.6,111,1,0,0.907407,0.75,0,0,17.333333,3,1.3333,0
10,1.001,0,12,50,0,0,12,4,0.361111,353,1,1,0,0.325,0,0,33.9,2,1.1,1
4,2.002,0,8,22,6,1,8,4,2,156,0,0,0.931034,0.416667,1,1,38,1,0.5,1
8,1.001,0,12,66,0,0,12,5,0.728571,593,0.8,2,0,0.45,0,0,71.875,8,2.125,1
5,3.003,1,11,18,0,10,1,4,0.55,387,0.4,1,0.866667,0.4,1,1,75.4,14,4.8,0
3,4.004,0,3,8,3,0,3,3,1.5,33,1,0,0.964286,0.666667,2,3,9,2,1,0
2,1.001,0,4,5,1,1,3,2,2,20,0,0,0,0.5,0,0,9,4,2,1
5,2.002,0,10,22,10,4,8,5,2,140,0,0,0.9,0.4,2,2,27,1,0.6,1
3,4.004,0,8,22,3,0,8,3,2,207,0,0,0.964286,0.666667,2,4,68,4,1.6667,0
37,1.001,0,29,72,0,15,14,35,0.027778,192,1,1,0,0.114198,0,0,4.162162,1,0.9459,1
1,1.001,0,6,2,0,6,0,1,2,6,0,0,0,1,0,0,3,0,0,1
6,2.002,0,9,14,11,3,8,5,0.8,70,1,0,0.9,0.4,0,0,10.333333,1,0.5,1
3,1.001,0,4,3,3,4,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,1
5,1.001,0,12,5,10,8,4,5,2,5,0,0,0,0.68,0,0,0,1,1,1
4,4.004,0,3,8,6,0,3,3,1.333333,62,1,0,0.947368,0.75,2,4,14,5,1.75,0
6,2.002,0,6,9,13,4,4,5,0.8,28,1,0,0.9,0.4,0,0,3.5,1,0.5,1
6,3.003,0,10,26,7,0,10,5,0.6,159,1,1,0.924528,0.35,3,3,25,3,1.1667,0
12,1.001,0,3,12,66,3,0,12,2,12,0,0,0,0.583333,0,0,0,1,1,0
6,1.001,0,2,16,3,0,2,5,0.866667,90,0.333333,0,0,0.466667,0,0,13.5,2,1.3333,1
9,1.001,1,7,17,34,1,6,4,0.6875,93,1,2,0,0.351852,0,0,9.111111,1,0.8889,1
5,2.002,0,10,12,10,4,8,5,2,62,0,0,0.903226,0.4,1,2,11.4,1,0.6,0
7,3.003,0,11,31,9,0,11,5,0.5,285,1,0,0.571429,0.428571,0,0,39.428571,1,0.8571,1
7,1.001,0,8,20,11,0,8,6,0.5,91,0.333333,0,0,0.5,0,0,11.571429,2,1.1429,1
5,2.002,0,8,12,0,4,6,5,0.25,54,1,0,0.903226,0.433333,0,0,9.6,1,0.6,1
17,1.001,2,26,20,96,23,4,17,0.902778,120,1,2,0,0.235294,0,0,5.529412,3,1.0588,1
12,3.003,0,8,30,64,1,7,11,1,93,1,0,0.920455,0.606061,1,2,6.583333,1,0.5833,0
5,1.001,0,3,19,2,0,3,3,0.666667,157,1,1,0,0.333333,0,0,29.8,3,1,1
3,2.002,0,2,6,3,0,2,1,2,12,0,0,0.714286,0.666667,1,2,3,1,0.6667,1
6,2.002,0,8,20,15,0,8,5,1,88,0,0,0.6875,0.416667,1,1,13.5,2,1,0
0,1.001,0,5,0,0,5,0,0,2,53,0,0,0,0,0,0,0,0,0,1
3,1.001,0,1,10,1,1,0,2,0.5,84,0,0,0,0.5,0,0,26.666667,10,3.3333,0
13,1.001,0,14,51,16,1,13,6,0.675926,615,1,3,0,0.369231,0,0,45.615385,12,3.0769,1
4,2.002,0,11,22,6,4,9,4,2,155,0,0,0.933333,0.416667,1,1,37.75,1,0.5,1
10,2.002,0,13,39,43,2,11,7,0.777778,276,1,0,0.466667,0.246914,0,0,26.5,5,1.5,1
3,2.002,0,2,14,0,1,1,3,0,42,1,0,0.666667,0.555556,0,0,12.666667,1,0.6667,1
1,1.001,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,1
4,3.003,0,4,21,4,1,3,3,0.555556,206,0.333333,0,0.769231,0.458333,1,1,49,21,5.75,1
6,2.002,0,6,9,13,4,4,5,0.8,28,1,0,0.903226,0.4,0,0,3.5,1,0.5,0
5,1.001,0,4,5,10,3,1,5,2,5,0,0,0,0.9,0,0,0,1,1,1
4,2.002,0,11,21,6,4,9,4,2,170,0,0,0.933333,0.416667,1,1,41.5,1,0.5,1
5,2.002,0,11,21,10,4,9,5,2,154,0,0,0.903226,0.4,1,1,29.8,1,0.6,1
3,2.002,0,2,6,3,0,2,1,2,12,0,0,0.714286,0.666667,1,2,3,1,0.6667,1
6,1.001,0,8,30,0,0,8,4,0.333333,168,1,1,0,0.416667,0,0,26.5,2,1.3333,0
30,1.001,43,68,49,359,59,12,30,0.902821,382,0.909091,7,0,0.176667,1,1,11.366667,4,1.3333,1
6,1.001,0,7,20,9,7,0,4,0.7,185,0.25,0,0,0.4,0,0,29.166667,6,2,1
5,2.002,0,9,11,10,5,6,5,2,31,0,0,0.903226,0.4,1,2,5.2,1,0.6,0
5,2.002,0,11,21,10,4,9,5,2,153,0,0,0.903226,0.4,1,1,29.6,1,0.6,1
2,1.001,0,5,2,1,5,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
11,2.002,0,8,43,27,0,8,6,0.728571,523,1,0,0.52381,0.285714,0,0,45.909091,5,1.9091,1
19,2.002,0,1,29,61,1,0,14,0.709877,342,0.666667,0,0.464286,0.305556,1,2,16.526316,2,0.8421,0
2,1.001,0,6,14,1,1,5,2,2,49,0,0,0,0.5,0,0,23.5,1,0.5,1
3,2.002,0,5,6,3,4,3,3,2,17,0,0,0.965517,0.533333,0,0,4.666667,1,0.3333,0
8,2.002,0,8,54,4,0,8,5,0.571429,413,1,0,0.611111,0.375,1,1,50.25,9,2.875,1
5,1.001,0,4,5,10,2,2,5,2,5,0,0,0,0.5,0,0,0,1,1,0
3,2.002,0,2,6,3,0,2,1,2,12,0,0,0.714286,0.666667,1,2,3,1,0.6667,1
8,2.002,0,17,42,0,5,14,8,0.52381,219,1,1,0.823529,0.28125,1,1,26,1,0.75,1
12,1.001,0,21,35,66,6,15,9,2,316,0,0,0,0.295455,0,0,25.333333,3,1.6667,1
13,2.002,1,5,17,66,1,4,13,0.75,95,1,1,0.521739,0.461538,0,0,6.230769,4,1.3846,1
6,3.003,0,2,19,15,2,0,4,1.12,184,0,0,0.8125,0.5,1,1,28.833333,14,2.8333,0
4,2.002,0,3,17,0,1,2,2,0.555556,109,0.333333,0,0.571429,0.45,0,0,25.5,6,2,1
37,1.001,0,16,92,0,3,13,34,0.5,438,1,1,0,0.177778,1,1,10.783784,12,1.1351,0
9,1.001,1,12,50,0,1,11,6,0.645833,316,0.666667,1,0,0.377778,0,0,33.444444,3,1.6667,1
1,1.001,0,11,1,0,11,0,1,2,1,0,0,0,1,0,0,0,1,1,1
5,2.002,0,11,21,10,4,9,5,2,153,0,0,0.903226,0.4,1,1,29.6,1,0.6,1
