name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
Tomcat,6.0.389418,org.apache.catalina.core.ApplicationHttpRequest,40.7,3,0,8,97,508,2,0,21,0.895424837,981,1,3,0.619565217,0.242063492,2,3,25.05405405,11,2.7568,0
Tomcat,6.0.389418,org.apache.tomcat.util.buf.B2CConverter,8.8,1,1,11,21,10,5,0,4,0.734693878,108,0.714285714,2,0,0.428571429,0,0,11.625,2,0.75,1
Tomcat,6.0.389418,javax.servlet.jsp.tagext.TagFileInfo,4.4,1,0,0,5,0,0,0,4,0.666666667,28,1,1,0,0.5,0,0,5.25,1,0.75,0
Tomcat,6.0.389418,org.apache.catalina.startup.SetParentClassLoaderRule,2.2,2,0,5,8,0,1,0,2,0,32,0,0,0.916666667,0.625,0,0,14.5,1,0.5,0
Tomcat,6.0.389418,javax.servlet.jsp.tagext.PageData,2.2,1,1,0,3,1,0,0,2,2,5,0,0,0,1,0,0,1.5,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.Authenticator,0,1,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tomcat,6.0.389418,org.apache.el.lang.ExpressionBuilder,9.9,1,0,19,46,8,3,0,5,0.4375,350,1,3,0,0.3125,0,0,37.44444444,1,0.7778,0
Tomcat,6.0.389418,org.apache.catalina.ant.ListTask,2.2,5,0,2,5,1,0,0,2,2,11,0,0,0.985507246,1,1,1,4.5,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.core.Constants,1.1,1,0,0,2,0,0,0,1,2,9,0,0,0,1,0,0,3,0,0,1
Tomcat,6.0.389418,org.apache.tomcat.util.net.puretls.PureTLSSupport,7.7,1,0,9,36,0,1,0,5,0.416666667,181,0.5,0,0,0.444444444,0,0,24.57142857,1,0.7143,0
Tomcat,6.0.389418,org.apache.catalina.ant.jmx.Arg,6.6,1,0,2,7,7,2,0,6,0.7,29,0,0,0,0.75,0,0,3.5,1,0.8333,0
Tomcat,6.0.389418,org.apache.jk.config.GeneratorJk1,12.1,1,0,2,23,15,1,0,11,0.7,167,0,1,0,0.318181818,0,0,13.72727273,2,1,0
Tomcat,6.0.389418,org.apache.tomcat.jni.Poll,11,1,0,4,11,45,3,0,10,1.111111111,24,0,0,0,0.34,0,0,0.3,1,0.9,0
Tomcat,6.0.389418,org.apache.catalina.core.StandardHost,46.2,2,0,26,98,683,10,0,41,0.948350072,962,1,0,0.633027523,0.25203252,2,7,21.5,10,1.5476,0
Tomcat,6.0.389418,org.apache.jasper.compiler.JasperTagInfo,3.3,2,0,2,4,0,2,0,3,0,31,1,0,0.894736842,0.444444444,0,0,9,2,1,0
Tomcat,6.0.389418,org.apache.catalina.util.StringManager,11,1,0,79,37,39,76,0,7,0.592592593,296,1,0,0,0.611111111,0,0,28.3,5,1.5,0
Tomcat,6.0.389418,org.apache.catalina.LifecycleException,7.7,3,0,35,12,11,35,0,7,0.166666667,77,1,0,0.85,0.523809524,1,2,9.714285714,4,0.8571,0
Tomcat,6.0.389418,org.apache.tomcat.util.http.NamesEnumerator,4.4,1,0,2,9,0,1,0,2,0.25,91,0,1,0,0.625,0,0,20.75,5,2,0
Tomcat,6.0.389418,org.apache.tomcat.util.buf.ReadConvertor,4.4,3,0,2,6,6,1,0,4,1,21,1,1,0.833333333,0.4,1,2,4,1,0.75,0
Tomcat,6.0.389418,javax.el.ExpressionFactory,5.5,1,1,0,6,10,0,0,5,2,8,0,0,0,0.533333333,0,0,0.6,1,0.8,0
Tomcat,6.0.389418,org.apache.coyote.http11.InternalAprOutputBuffer,33,1,0,14,71,135,2,0,22,0.780788177,836,1,6,0,0.162068966,0,0,26.4,6,1.6333,0
Tomcat,6.0.389418,org.apache.catalina.users.MemoryRole,3.3,2,0,3,9,1,1,0,2,0.5,59,1,1,0.75,0.555555556,0,0,18.33333333,2,1,0
Tomcat,6.0.389418,org.apache.catalina.Role,5.5,1,0,18,5,10,18,0,5,2,5,0,0,0,0.7,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.tomcat.util.digester.SetPropertiesRule,7.7,2,0,4,25,9,1,0,7,0.5,331,1,0,0.785714286,0.342857143,2,2,46,5,1,0
Tomcat,6.0.389418,org.apache.catalina.ant.JMXQueryTask,4.4,5,0,2,11,0,0,0,4,0,56,1,0,0.957746479,0.625,2,2,12.75,1,0.75,0
Tomcat,6.0.389418,org.apache.catalina.util.ResourceSet,11,4,0,2,20,0,1,0,9,0.388888889,92,1,1,0.848484848,0.296296296,2,2,8,2,0.8,0
Tomcat,6.0.389418,org.apache.catalina.startup.LifecycleListenerRule,2.2,2,0,7,8,0,3,0,2,0,44,1,0,0.916666667,0.833333333,0,0,20,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.deploy.SecurityCollection,18.7,1,0,6,32,72,3,0,16,0.7125,378,1,0,0,0.8125,0,0,20.94117647,7,2.2353,0
Tomcat,6.0.389418,org.apache.tomcat.util.digester.PathCallParamRule,3.3,2,0,2,11,0,1,0,3,0,52,1,0,0.846153846,0.5,0,0,16,1,0.6667,0
Tomcat,6.0.389418,org.apache.coyote.http11.Constants,2.2,1,0,5,4,1,4,0,1,1.76744186,79,0,0,0,1,0,0,17,0,0,1
Tomcat,6.0.389418,org.apache.el.parser.ArithmeticNode,2.2,3,5,7,3,1,5,0,2,2,8,0,0,0.975,0.666666667,0,0,3,1,0.5,0
Tomcat,6.0.389418,org.apache.coyote.http11.Http11AprProtocol,129.8,1,0,10,210,3267,1,0,104,0.928547009,1160,0.92,4,0,0.130536131,0,0,8.618644068,3,1.0424,1
Tomcat,6.0.389418,org.apache.catalina.authenticator.Constants,1.1,1,0,0,2,0,0,0,1,2,23,0,0,0,1,0,0,3,0,0,1
Tomcat,6.0.389418,org.apache.catalina.mbeans.StandardServiceMBean,2.2,2,0,2,4,1,0,0,1,1,9,1,0,1,1,0,0,3,0,0,0
Tomcat,6.0.389418,javax.servlet.jsp.el.ScopedAttributeELResolver,8.8,2,0,0,35,28,0,0,7,2,343,0,0,0.5,0.525,0,0,41.875,6,1.75,0
Tomcat,6.0.389418,org.apache.naming.resources.DirContextURLStreamHandler,17.6,2,1,6,42,34,5,0,13,0.644444444,287,1,0,0.48,0.186666667,0,0,16.75,7,1.8125,0
Tomcat,6.0.389418,org.apache.jasper.runtime.JspApplicationContextImpl,8.8,1,0,4,35,12,2,0,6,0.666666667,204,1,2,0,0.285714286,0,0,23.75,3,1.625,0
Tomcat,6.0.389418,org.apache.catalina.Manager,37.4,1,0,19,34,561,19,0,34,2,34,0,0,0,0.210084034,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.jasper.compiler.ErrorHandler,4.4,1,0,4,4,6,2,0,4,2,4,0,0,0,0.6,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.tomcat.util.buf.WriteConvertor,5.5,3,0,2,11,8,1,0,5,0.75,37,1,1,0.833333333,0.36,1,1,6.2,1,0.8,0
Tomcat,6.0.389418,javax.servlet.ServletRequestListener,2.2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.tomcat.util.http.mapper.Mapper,45.1,1,0,17,92,658,6,0,20,0.84375,2453,1,2,0,0.194642857,0,0,58.73170732,10,3.7073,0
Tomcat,6.0.389418,javax.el.PropertyNotWritableException,4.4,5,1,0,8,6,0,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,0
Tomcat,6.0.389418,org.apache.catalina.core.StandardEngineValve,4.4,2,0,8,13,4,1,0,2,1,36,1,1,0.909090909,0.555555556,0,0,7.5,1,0.5,0
Tomcat,6.0.389418,org.apache.tomcat.jni.Shm,9.9,1,0,1,10,36,0,0,9,2,12,0,0,0,0.444444444,0,0,0.333333333,1,0.8889,0
Tomcat,6.0.389418,javax.servlet.jsp.tagext.TagLibraryValidator,5.5,1,0,0,6,4,0,0,5,0.5,22,1,0,0,0.4,0,0,3.2,1,0.8,0
Tomcat,6.0.389418,org.apache.jk.server.JkCoyoteHandler,18.7,2,0,14,69,78,0,0,16,0.791666667,348,0.5,2,0.615384615,0.203125,1,3,19.11764706,3,1.4118,0
Tomcat,6.0.389418,org.apache.catalina.ant.SessionsTask,4.4,5,0,2,13,0,0,0,4,0,58,1,0,0.957746479,0.625,1,1,13.25,1,0.75,0
Tomcat,6.0.389418,org.apache.catalina.session.StandardSession,66,1,0,19,143,1080,8,0,52,0.825084746,1833,1,4,0,0.13700565,0,0,29.13333333,19,2.1833,1
Tomcat,6.0.389418,org.apache.jk.core.WorkerEnv,14.3,1,0,12,25,40,12,0,13,0.923611111,265,0.083333333,1,0,0.369230769,0,0,18.46153846,5,1.4615,0
Tomcat,6.0.389418,org.apache.tomcat.util.threads.ThreadPool,46.2,1,0,19,96,569,14,0,31,0.889135255,897,0.772727273,3,0,0.134146341,0,0,19.83333333,9,1.9286,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIStopProcessingException,1.1,3,0,4,2,0,4,0,1,2,4,0,0,1,1,0,0,3,0,0,0
Tomcat,6.0.389418,org.apache.el.parser.AstFalse,2.2,4,0,3,3,1,1,0,2,2,8,0,0,0.975609756,0.666666667,0,0,3,1,0.5,0
Tomcat,6.0.389418,org.apache.tomcat.util.collections.LRUCache,7.7,1,0,1,13,0,1,0,5,0.5,221,1,2,0,0.428571429,0,0,29.85714286,7,3.2857,0
Tomcat,6.0.389418,javax.servlet.jsp.SkipPageException,4.4,4,0,0,8,6,0,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,0
Tomcat,6.0.389418,org.apache.jasper.compiler.Generator,48.4,1,0,26,166,428,9,0,2,0.880620155,2361,1,7,0,0.141649049,0,0,52.31818182,11,2.0909,1
Tomcat,6.0.389418,org.apache.catalina.startup.PasswdUserDatabase,6.6,1,0,2,22,0,0,0,5,0.666666667,161,1,1,0,0.444444444,0,0,25.33333333,8,2,0
Tomcat,6.0.389418,org.apache.tomcat.util.net.jsse.JSSE15SocketFactory,5.5,4,0,4,37,6,1,0,1,0.5,203,1,0,0.911764706,0.666666667,2,2,39.4,1,0.6,0
Tomcat,6.0.389418,javax.servlet.ServletContext,26.4,1,0,0,24,276,0,0,24,2,24,0,0,0,0.358333333,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.catalina.startup.SetContextPropertiesRule,2.2,2,0,4,10,1,1,0,2,2,45,0,0,0.916666667,0.666666667,1,1,21.5,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIServlet,6.6,3,0,4,45,0,0,0,4,0.2,379,1,0,0.827586207,0.625,2,5,61.16666667,1,0.8333,0
Tomcat,6.0.389418,javax.servlet.ServletException,5.5,3,2,0,8,4,0,0,5,0.5,31,1,0,0.944444444,0.6,0,0,5,1,0.2,0
Tomcat,6.0.389418,javax.servlet.jsp.tagext.SimpleTagSupport,9.9,1,0,0,17,30,0,0,7,0.875,98,1,3,0,0.288888889,0,0,9.555555556,12,2.1111,0
Tomcat,6.0.389418,org.apache.catalina.startup.EngineRuleSet,3.3,2,0,5,12,1,1,0,3,0,259,1,0,0.666666667,0.555555556,1,1,85,1,0.3333,0
Tomcat,6.0.389418,org.apache.el.parser.AstBracketSuffix,2.2,3,0,4,4,1,1,0,2,2,13,0,0,0.975,0.666666667,0,0,5.5,1,0.5,0
Tomcat,6.0.389418,org.apache.tomcat.util.digester.SetNextRule,8.8,2,0,4,23,16,1,0,8,0.428571429,166,1,0,0.733333333,0.46875,1,1,19.375,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.valves.ExtendedAccessLogValve,41.8,2,0,14,144,521,0,0,26,0.895135135,2014,1,3,0.357142857,0.155405405,0,0,51.34210526,31,3.5526,0
Tomcat,6.0.389418,org.apache.catalina.ant.DeployTask,15.4,5,0,2,34,29,0,0,14,0.769230769,263,1,0,0.839506173,0.476190476,1,1,17.35714286,1,0.9286,0
Tomcat,6.0.389418,org.apache.jasper.runtime.JspWriterImpl,46.2,3,0,4,67,697,2,0,33,0.282229965,655,0.857142857,1,0.512820513,0.166297118,2,4,14.42857143,4,1.0238,0
Tomcat,6.0.389418,org.apache.jasper.compiler.AntCompiler,4.4,2,0,19,76,0,1,0,1,0.5,640,1,1,0.875,0.666666667,1,1,158.5,5,1.5,1
Tomcat,6.0.389418,org.apache.catalina.util.LifecycleSupport,5.5,1,0,23,9,0,19,0,5,0.375,183,1,2,0,0.4,0,0,35.2,6,2.2,0
Tomcat,6.0.389418,org.apache.naming.ContextAccessController,8.8,1,0,3,15,4,3,0,7,0.5,84,1,0,0,0.5,0,0,9.25,4,1.75,0
Tomcat,6.0.389418,org.apache.catalina.core.StandardHostValve,8.8,2,0,16,65,16,1,0,2,0.857142857,408,1,1,0.769230769,0.428571429,0,0,49.625,10,3.25,0
Tomcat,6.0.389418,org.apache.catalina.authenticator.SSLAuthenticator,5.5,3,0,12,26,10,0,0,5,1.25,142,1,0,0.923076923,0.4,1,3,27.2,1,0.8,1
Tomcat,6.0.389418,org.apache.jasper.servlet.JspServletWrapper,22,1,0,15,89,60,6,0,17,0.796052632,826,1,5,0,0.133333333,0,0,39.5,10,1.6,1
Tomcat,6.0.389418,org.apache.coyote.OutputBuffer,1.1,1,0,20,1,0,19,0,1,2,1,0,0,0,1,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.catalina.valves.PersistentValve,5.5,2,0,14,45,8,0,0,3,1,263,1,1,0.869565217,0.4,0,0,51.2,3,1,1
Tomcat,6.0.389418,org.apache.catalina.core.ContainerBase,78.1,1,4,34,174,1809,14,0,62,0.917857143,1902,1,8,0,0.069387755,0,0,25.3943662,9,2.2254,0
Tomcat,6.0.389418,org.apache.catalina.util.HexUtils,6.6,1,0,2,18,9,1,0,4,0.7,1355,0.5,1,0,0.25,0,0,224.5,15,4.1667,0
Tomcat,6.0.389418,org.apache.catalina.authenticator.BasicAuthenticator,4.4,3,0,16,46,4,0,0,3,0.888888889,283,0.666666667,0,0.96,0.5,1,3,69,1,0.5,0
Tomcat,6.0.389418,org.apache.tomcat.util.collections.EmptyEnumeration,5.5,1,0,0,7,8,0,0,4,0.75,23,0,1,0,0.75,0,0,3.4,1,0.6,0
Tomcat,6.0.389418,org.apache.jasper.compiler.BeanRepository,9.9,1,0,9,20,12,5,0,4,0.696428571,169,1,1,0,0.444444444,0,0,17,5,1.3333,0
Tomcat,6.0.389418,org.apache.catalina.ant.jmx.JMXAccessorCreateTask,12.1,5,0,3,32,17,0,0,10,0.75,249,1,0,0.908256881,0.327272727,1,1,21.27272727,1,0.9091,0
Tomcat,6.0.389418,org.apache.catalina.deploy.ContextResource,6.6,2,0,9,13,0,8,0,6,0.4,100,1,0,0.705882353,0.666666667,0,0,15.33333333,5,1.5,0
Tomcat,6.0.389418,org.apache.catalina.ServerFactory,4.4,1,0,8,6,0,7,0,3,0.333333333,24,1,1,0,0.333333333,0,0,4.75,2,1,0
Tomcat,6.0.389418,org.apache.catalina.Container,37.4,1,0,66,34,561,62,0,34,1.03030303,40,0,0,0,0.109243697,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.el.parser.AstDynamicExpression,5.5,3,0,5,10,0,2,0,5,2,38,0,0,0.906976744,0.55,0,0,6.6,1,0.8,0
Tomcat,6.0.389418,org.apache.el.parser.AstMinus,2.2,4,0,5,5,1,1,0,2,2,24,0,0,0.975609756,0.666666667,0,0,11,1,0.5,0
Tomcat,6.0.389418,org.apache.jasper.compiler.ELNode,2.2,1,4,8,3,1,6,0,1,2,5,0,0,0,0.75,0,0,1.5,1,0.5,0
Tomcat,6.0.389418,org.apache.naming.resources.Resource,7.7,1,2,12,9,0,12,0,7,0.25,65,1,0,0,0.523809524,0,0,8,1,0.5714,0
Tomcat,6.0.389418,org.apache.coyote.http11.filters.BufferedInputFilter,9.9,1,0,6,23,10,2,0,8,0.791666667,132,1,4,0,0.325,0,0,13,2,1,0
Tomcat,6.0.389418,org.apache.tomcat.util.digester.NodeCreateRule,6.6,2,0,3,27,13,1,0,6,0.4,139,1,0,0.846153846,0.4,1,1,21.83333333,1,0.3333,0
Tomcat,6.0.389418,org.apache.catalina.ant.RolesTask,2.2,5,0,2,5,1,0,0,2,2,11,0,0,0.985507246,1,1,1,4.5,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.mbeans.StandardContextMBean,16.5,2,0,10,61,63,0,0,13,0.785714286,488,1,1,0.759259259,0.714285714,0,0,31.33333333,3,1.4667,0
Tomcat,6.0.389418,org.apache.el.parser.ELParserTreeConstants,1.1,1,0,3,1,0,3,0,0,2,171,0,0,0,0,0,0,136,0,0,0
Tomcat,6.0.389418,org.apache.tomcat.util.net.TcpConnection,11,1,0,5,15,27,5,0,9,0.777777778,101,0,1,0,0.240740741,0,0,8.8,1,0.8,0
Tomcat,6.0.389418,org.apache.naming.resources.jndi.Handler,1.1,3,0,1,2,0,0,0,1,2,4,0,0,1,1,0,0,3,0,0,0
Tomcat,6.0.389418,org.apache.el.MethodExpressionImpl,12.1,3,0,4,27,11,1,0,10,0.583333333,169,1,3,0.4,0.174242424,1,1,13.81818182,3,1,0
Tomcat,6.0.389418,org.apache.tomcat.util.net.jsse.JSSE15Factory,2.2,2,0,3,4,1,0,0,1,2,9,0,0,0.666666667,1,0,0,3.5,1,0.5,0
Tomcat,6.0.389418,org.apache.jasper.xmlparser.MyEntityResolver,2.2,1,0,5,16,0,1,0,1,0,78,1,0,0,0.75,0,0,37.5,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIFsize,5.5,1,0,3,27,10,1,0,4,1.25,237,1,0,0,0.375,0,0,46,6,3,0
Tomcat,6.0.389418,javax.servlet.jsp.JspWriter,30.8,2,2,0,29,374,0,0,27,1.007407407,48,0.4,0,0.325,0.171428571,0,0,0.535714286,1,0.9643,0
Tomcat,6.0.389418,org.apache.naming.TransactionRef,3.3,2,0,2,6,3,2,0,3,1.5,31,0,0,0.9375,0.666666667,0,0,9,3,1,0
Tomcat,6.0.389418,org.apache.jk.common.ChannelSocket,66,2,0,16,163,1204,2,0,55,0.90440678,1551,0.52,2,0.292682927,0.111864407,1,1,24.43333333,13,1.4667,0
Tomcat,6.0.389418,javax.servlet.ServletRequestAttributeEvent,3.3,3,0,0,4,0,0,0,3,0.5,22,1,0,0.666666667,0.466666667,0,0,5.666666667,1,0.6667,0
Tomcat,6.0.389418,org.apache.naming.resources.ProxyDirContext,75.9,1,0,12,158,0,5,0,62,0.893137255,1383,0.866666667,3,0,0.18729097,0,0,18.82608696,18,1.5942,0
Tomcat,6.0.389418,org.apache.catalina.connector.CoyoteAdapter,11,1,0,26,128,23,1,0,3,0.888888889,1066,0.833333333,2,0,0.296296296,0,0,105,22,4.1,1
Tomcat,6.0.389418,org.apache.tomcat.util.digester.CallParamRule,11,2,0,4,27,3,1,0,10,0.4,245,1,1,0.733333333,0.4,1,2,23,3,0.6,0
Tomcat,6.0.389418,org.apache.tomcat.util.net.TcpConnectionHandler,4.4,1,0,6,4,6,5,0,4,2,4,0,0,0,0.45,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.jasper.xmlparser.TreeNode,17.6,1,0,5,36,62,5,0,15,0.693333333,349,1,1,0,0.375,0,0,20.5,8,2,0
Tomcat,6.0.389418,org.apache.catalina.core.StandardPipeline,22,1,0,17,59,22,2,0,17,0.664473684,585,1,5,0,0.368421053,0,0,27.85,11,2.5,1
Tomcat,6.0.389418,javax.el.CompositeELResolver,8.8,2,0,0,20,0,0,0,8,0,223,1,1,0.5,0.65625,0,0,26.625,5,1.625,0
Tomcat,6.0.389418,org.apache.el.parser.AstDiv,2.2,4,0,5,5,1,1,0,2,2,24,0,0,0.975609756,0.666666667,0,0,11,1,0.5,0
Tomcat,6.0.389418,org.apache.catalina.connector.Constants,2.2,1,0,2,4,1,2,0,1,1.875,20,0,0,0,1,0,0,5,0,0,0
Tomcat,6.0.389418,org.apache.jasper.el.JspELException,1.1,5,0,2,7,0,2,0,1,2,17,0,0,1,1,0,0,16,0,0,0
Tomcat,6.0.389418,javax.servlet.http.HttpSessionListener,2.2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.el.parser.AstEmpty,3.3,3,0,4,9,3,1,0,3,2,63,0,0,0.951219512,0.666666667,0,0,20,1,0.6667,0
Tomcat,6.0.389418,org.apache.catalina.authenticator.SingleSignOn,25.3,2,0,18,83,137,3,0,14,0.835227273,845,1,2,0.487804878,0.2,1,1,35.39130435,8,2.3043,1
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIEcho,3.3,1,0,3,13,3,1,0,2,1.5,106,1,0,0,0.533333333,0,0,33.66666667,6,3.3333,1
Tomcat,6.0.389418,org.apache.catalina.startup.EngineConfig,5.5,1,0,7,17,0,0,0,2,0.416666667,79,1,2,0,0.625,0,0,14.2,3,1.4,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIFilter,4.4,1,0,5,52,0,0,0,4,0.333333333,307,1,1,0,0.4,0,0,74.25,1,0.75,0
Tomcat,6.0.389418,org.apache.tomcat.util.collections.MultiMap,13.2,1,1,5,19,0,4,0,12,0.636363636,268,0.5,1,0,0.638888889,0,0,21,4,2.0833,0
Tomcat,6.0.389418,org.apache.tomcat.util.buf.TimeStamp,19.8,1,0,3,21,73,2,0,18,0.836601307,152,0.666666667,1,0,0.277777778,0,0,6.944444444,2,1.0556,0
Tomcat,6.0.389418,org.apache.tomcat.jni.BIOCallback,4.4,1,0,1,4,6,1,0,4,2,4,0,0,0,0.5,0,0,0,1,1,0
Tomcat,6.0.389418,javax.servlet.ServletResponseWrapper,19.8,1,2,0,35,0,0,0,18,0,111,1,1,0,0.277777778,0,0,5.111111111,2,1,0
Tomcat,6.0.389418,org.apache.jk.core.JkChannel,8.8,1,0,12,8,28,10,0,8,2,8,0,0,0,0.5,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.catalina.mbeans.MBeanUtils,68.2,1,0,40,133,329,14,0,6,0.613114754,3133,0.8,0,0,0.05702067,0,0,49.4516129,4,1.0645,0
Tomcat,6.0.389418,org.apache.catalina.util.XMLWriter,13.2,1,0,2,21,0,2,0,12,0.836363636,304,0.4,0,0,0.458333333,0,0,23.91666667,7,1.3333,0
Tomcat,6.0.389418,org.apache.catalina.ssi.SSIConditional,4.4,1,0,6,11,6,1,0,2,2,166,0,0,0,0.55,0,0,40.5,2,1,0
Tomcat,6.0.389418,javax.servlet.http.HttpSessionContext,2.2,1,0,0,2,1,0,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
Tomcat,6.0.389418,org.apache.jasper.runtime.JspContextWrapper,42.9,3,0,1,78,0,0,0,35,0.763157895,560,1,1,0.449275362,0.131868132,1,1,13.17948718,8,1.8462,1
Tomcat,6.0.389418,org.apache.el.ValueExpressionLiteral,15.4,3,0,4,29,11,1,0,14,0.692307692,149,1,0,0.428571429,0.255102041,1,1,9.428571429,6,1.6429,0
Tomcat,6.0.389418,org.apache.tomcat.util.digester.SetRootRule,8.8,2,0,4,23,16,1,0,8,0.428571429,165,1,0,0.733333333,0.46875,1,1,19.25,1,0.5,0
