cylinders,displacement,horsepower,weight,acceleration,model,origin,mpg,Rank
['4', '91', '67', '1965', '15', '82', '3', '40', 360]
['4', '79', '67', '1950', '19', '74', '3', '30', 359]
['4', '79', '70', '2074', '19.5', '71', '2', '30', 358]
['4', '141', '71', '3190', '24.8', '79', '2', '30', 357]
['4', '85', '65', '2020', '19.2', '79', '3', '30', 356]
['4', '98', '80', '1915', '14.4', '79', '1', '40', 355]
['4', '83', '61', '2003', '19', '74', '3', '30', 354]
['4', '98', '65', '2380', '20.7', '81', '1', '30', 353]
['4', '91', '67', '1850', '13.8', '80', '3', '40', 352]
['4', '91', '53', '1795', '17.5', '75', '3', '30', 351]
['4', '91', '53', '1795', '17.4', '76', '3', '30', 350]
['4', '105', '63', '2125', '14.7', '82', '1', '40', 349]
['4', '98', '68', '2045', '18.5', '77', '3', '30', 348]
['4', '91', '69', '2130', '14.7', '79', '2', '40', 347]
['4', '98', '76', '2144', '14.7', '80', '2', '40', 346]
['4', '76', '52', '1649', '16.5', '74', '3', '30', 345]
['4', '97', '54', '2254', '23.5', '72', '2', '20', 344]
['4', '120', '88', '2160', '14.5', '82', '3', '40', 343]
['4', '91', '68', '1970', '17.6', '82', '3', '30', 342]
['4', '107', '75', '2205', '14.5', '82', '3', '40', 341]
['4', '97', '67', '2065', '17.8', '81', '3', '30', 340]
['4', '97', '67', '2145', '18', '80', '3', '30', 339]
['4', '119', '92', '2434', '15', '80', '3', '40', 338]
['4', '98', '60', '2164', '22.1', '76', '1', '20', 337]
['4', '96', '69', '2189', '18', '72', '2', '30', 336]
['4', '85', '70', '1945', '16.8', '77', '3', '30', 335]
['4', '85', '70', '1990', '17', '76', '3', '30', 334]
['4', '97', '75', '2265', '18.2', '77', '3', '30', 333]
['4', '122', '88', '2500', '15.1', '80', '2', '40', 332]
['4', '98', '63', '2051', '17', '77', '1', '30', 331]
['4', '112', '88', '2605', '19.6', '82', '1', '30', 330]
['4', '98', '79', '2255', '17.7', '76', '1', '30', 329]
['4', '97', '67', '1985', '16.4', '77', '3', '30', 328]
['4', '97.5', '80', '2126', '17', '72', '1', '30', 327]
['6', '262', '85', '3015', '17', '82', '1', '40', 326]
['4', '112', '88', '2395', '18', '82', '1', '30', 325]
['4', '91', '68', '1985', '16', '81', '3', '30', 324]
['4', '89', '62', '1845', '15.3', '80', '2', '30', 323]
['4', '97', '88', '2100', '16.5', '72', '3', '30', 322]
['4', '79', '67', '2000', '16', '74', '2', '30', 321]
['4', '98', '65', '2045', '16.2', '81', '1', '30', 320]
['4', '119', '82', '2720', '19.4', '82', '1', '30', 319]
['4', '98', '68', '2135', '16.6', '78', '3', '30', 318]
['4', '91', '67', '1965', '15.7', '82', '3', '30', 317]
['4', '116', '81', '2220', '16.9', '76', '2', '30', 316]
['4', '146', '67', '3250', '21.8', '80', '2', '30', 315]
['4', '98', '68', '2155', '16.5', '78', '1', '30', 314]
['4', '108', '70', '2245', '16.9', '82', '3', '30', 313]
['4', '104', '95', '2375', '17.5', '70', '2', '30', 312]
['4', '79', '67', '1963', '15.5', '74', '2', '30', 311]
['4', '97', '75', '2155', '16.4', '76', '3', '30', 310]
['4', '97', '92', '2288', '17', '72', '3', '30', 309]
['4', '120', '79', '2625', '18.6', '82', '1', '30', 308]
['4', '107', '72', '2290', '17', '80', '3', '30', 307]
['4', '112', '88', '2640', '18.6', '82', '1', '30', 306]
['4', '98', '83', '2075', '15.9', '77', '1', '30', 305]
['4', '98', '83', '2219', '16.5', '74', '2', '30', 304]
['4', '135', '84', '2370', '13', '82', '1', '40', 303]
['4', '90', '71', '2223', '16.5', '75', '2', '30', 302]
['4', '86', '65', '1975', '15.2', '79', '3', '30', 301]
['4', '120', '74', '2635', '18.3', '81', '3', '30', 300]
['4', '97', '75', '2171', '16', '75', '3', '30', 299]
['4', '108', '75', '2350', '16.8', '81', '3', '30', 298]
['4', '89', '71', '1990', '14.9', '78', '2', '30', 297]
['4', '98', '70', '2120', '15.5', '80', '1', '30', 296]
['4', '120', '75', '2542', '17.5', '80', '3', '30', 295]
['4', '97', '78', '2188', '15.8', '80', '2', '30', 294]
['4', '97', '78', '1940', '14.5', '77', '2', '30', 293]
['4', '141', '80', '3230', '20.4', '81', '2', '30', 292]
['4', '90', '70', '1937', '14.2', '76', '2', '30', 291]
['4', '151', '90', '2735', '18', '82', '1', '30', 290]
['4', '140', '75', '2542', '17', '74', '1', '30', 289]
['4', '89', '71', '1925', '14', '79', '2', '30', 288]
['4', '122', '80', '2451', '16.5', '74', '1', '30', 287]
['4', '101', '83', '2202', '15.3', '76', '2', '30', 286]
['4', '90', '70', '1937', '14', '75', '2', '30', 285]
['4', '110', '87', '2672', '17.5', '70', '2', '30', 284]
['4', '140', '90', '2264', '15.5', '71', '1', '30', 283]
['4', '98', '90', '2265', '15.5', '73', '2', '30', 282]
['4', '98', '80', '2164', '15', '72', '1', '30', 281]
['4', '88', '76', '2065', '14.5', '71', '2', '30', 280]
['4', '105', '70', '2150', '14.9', '79', '1', '30', 279]
['6', '145', '76', '3160', '19.6', '81', '2', '30', 278]
['4', '122', '96', '2300', '15.5', '77', '1', '30', 277]
['4', '111', '80', '2155', '14.8', '77', '1', '30', 276]
['4', '140', '88', '2870', '18.1', '80', '1', '30', 275]
['4', '108', '75', '2265', '15.2', '80', '3', '30', 274]
['4', '90', '75', '2125', '14.5', '74', '1', '30', 273]
['4', '97', '88', '2130', '14.5', '70', '3', '30', 271]
['4', '97', '88', '2130', '14.5', '71', '3', '30', 271]
['4', '105', '63', '2215', '14.9', '81', '1', '30', 270]
['4', '108', '93', '2391', '15.5', '74', '3', '30', 269]
['4', '135', '84', '2525', '16', '82', '1', '30', 268]
['4', '97', '88', '2279', '19', '73', '3', '20', 267]
['4', '112', '85', '2575', '16.2', '82', '1', '30', 266]
['4', '116', '90', '2123', '14', '71', '2', '30', 265]
['4', '105', '75', '2230', '14.5', '78', '1', '30', 264]
['4', '107', '75', '2210', '14.4', '81', '3', '30', 263]
['4', '140', '72', '2401', '19.5', '73', '1', '20', 262]
['4', '151', '84', '2635', '16.4', '81', '1', '30', 261]
['4', '135', '84', '2490', '15.7', '81', '1', '30', 260]
['4', '140', '90', '2408', '19.5', '72', '1', '20', 259]
['4', '105', '74', '2190', '14.2', '81', '2', '30', 258]
['4', '107', '86', '2464', '15.5', '76', '2', '30', 257]
['4', '119', '97', '2300', '14.7', '78', '3', '30', 256]
['4', '151', '90', '2678', '16.5', '80', '1', '30', 255]
['4', '97', '78', '2190', '14.1', '77', '2', '30', 254]
['4', '97', '78', '2300', '14.5', '74', '2', '30', 253]
['4', '97', '71', '1825', '12.2', '76', '2', '30', 252]
['4', '113', '95', '2228', '14', '71', '3', '30', 251]
['4', '140', '72', '2408', '19', '71', '1', '20', 250]
['4', '116', '75', '2246', '14', '74', '2', '30', 249]
['4', '122', '85', '2310', '18.5', '73', '1', '20', 248]
['5', '183', '77', '3530', '20.1', '79', '2', '30', 247]
['4', '151', '90', '2670', '16', '79', '1', '30', 246]
['4', '151', '90', '2950', '17.3', '82', '1', '30', 245]
['4', '105', '70', '2200', '13.2', '79', '1', '30', 244]
['4', '140', '89', '2755', '15.8', '77', '1', '30', 243]
['4', '140', '92', '2572', '14.9', '76', '1', '30', 242]
['4', '134', '90', '2711', '15.5', '80', '3', '30', 241]
['4', '140', '88', '2720', '15.4', '78', '1', '30', 240]
['6', '181', '110', '2945', '16.4', '82', '1', '30', 239]
['4', '119', '100', '2615', '14.8', '81', '3', '30', 238]
['4', '140', '86', '2790', '15.6', '82', '1', '30', 237]
['4', '121', '80', '2670', '15', '79', '1', '30', 236]
['4', '156', '92', '2585', '14.5', '82', '1', '30', 235]
['4', '120', '88', '3270', '21.9', '76', '2', '20', 234]
['4', '134', '95', '2560', '14.2', '78', '3', '30', 233]
['4', '140', '78', '2592', '18.5', '75', '1', '20', 232]
['4', '156', '92', '2620', '14.4', '81', '1', '30', 231]
['4', '121', '113', '2234', '12.5', '70', '2', '30', 230]
['4', '121', '76', '2511', '18', '72', '2', '20', 229]
['8', '260', '90', '3420', '22.2', '79', '1', '20', 228]
['4', '122', '86', '2226', '16.5', '72', '1', '20', 227]
['4', '151', '90', '3003', '20.1', '80', '1', '20', 226]
['4', '135', '84', '2385', '12.9', '81', '1', '30', 225]
['4', '140', '72', '2565', '13.6', '76', '1', '30', 224]
['4', '90', '75', '2108', '15.5', '74', '2', '20', 223]
['8', '350', '105', '3725', '19', '81', '1', '30', 222]
['4', '144', '96', '2665', '13.9', '82', '3', '30', 221]
['4', '120', '87', '2979', '19.5', '72', '2', '20', 220]
['4', '156', '105', '2800', '14.4', '80', '1', '30', 219]
['4', '151', '90', '2556', '13.2', '79', '1', '30', 218]
['4', '116', '75', '2158', '15.5', '73', '2', '20', 217]
['4', '108', '94', '2379', '16.5', '73', '3', '20', 216]
['4', '121', '115', '2671', '13.5', '75', '2', '30', 215]
['4', '119', '97', '2545', '17', '75', '3', '20', 214]
['4', '135', '84', '2295', '11.6', '82', '1', '30', 213]
['6', '250', '72', '3432', '21', '75', '1', '20', 212]
['4', '113', '95', '2278', '15.5', '72', '3', '20', 211]
['4', '122', '86', '2395', '16', '72', '1', '20', 210]
['6', '250', '72', '3158', '19.5', '75', '1', '20', 209]
['4', '140', '83', '2639', '17', '75', '1', '20', 208]
['6', '173', '115', '2700', '12.9', '79', '1', '30', 207]
['4', '151', '85', '2855', '17.6', '78', '1', '20', 206]
['6', '250', '78', '3574', '21', '76', '1', '20', 205]
['6', '200', '85', '2990', '18.2', '79', '1', '20', 204]
['4', '113', '95', '2372', '15', '70', '3', '20', 203]
['6', '200', '85', '2587', '16', '70', '1', '20', 202]
['4', '156', '105', '2745', '16.7', '78', '1', '20', 201]
['4', '140', '88', '2890', '17.3', '79', '1', '20', 200]
['4', '119', '97', '2405', '14.9', '78', '3', '20', 199]
['4', '122', '86', '2220', '14', '71', '1', '20', 198]
['3', '70', '90', '2124', '13.5', '73', '3', '20', 197]
['6', '200', '81', '3012', '17.6', '76', '1', '20', 196]
['6', '200', '95', '3155', '18.2', '78', '1', '20', 195]
['4', '120', '97', '2489', '15', '74', '3', '20', 194]
['6', '173', '115', '2595', '11.3', '79', '1', '30', 193]
['6', '168', '116', '2900', '12.6', '81', '3', '30', 192]
['4', '151', '88', '2740', '16', '77', '1', '20', 191]
['4', '107', '90', '2430', '14.5', '70', '2', '20', 190]
['4', '120', '88', '2957', '17', '75', '2', '20', 189]
['6', '232', '90', '3085', '17.6', '76', '1', '20', 188]
['4', '134', '95', '2515', '14.8', '78', '3', '20', 187]
['4', '140', '92', '2865', '16.4', '82', '1', '20', 186]
['6', '232', '90', '3265', '18.2', '79', '1', '20', 185]
['6', '225', '90', '3381', '18.7', '80', '1', '20', 184]
['6', '258', '95', '3193', '17.8', '76', '1', '20', 183]
['4', '120', '97', '2506', '14.5', '72', '3', '20', 182]
['6', '200', '88', '3060', '17.1', '81', '1', '20', 181]
['5', '131', '103', '2830', '15.9', '78', '2', '20', 180]
['3', '70', '97', '2330', '13.5', '72', '3', '20', 179]
['6', '231', '110', '3907', '21', '75', '1', '20', 178]
['6', '199', '90', '2648', '15', '70', '1', '20', 177]
['4', '121', '115', '2795', '15.7', '78', '2', '20', 176]
['6', '250', '100', '3278', '18', '73', '1', '20', 175]
['6', '231', '105', '3535', '19.2', '78', '1', '20', 174]
['6', '199', '97', '2774', '15.5', '70', '1', '20', 173]
['6', '155', '107', '2472', '14', '73', '1', '20', 172]
['6', '250', '98', '3525', '19', '77', '1', '20', 171]
['6', '232', '100', '2901', '16', '74', '1', '20', 170]
['4', '115', '95', '2694', '15', '75', '2', '20', 169]
['6', '198', '95', '2904', '16', '73', '1', '20', 168]
['6', '232', '100', '2914', '16', '75', '1', '20', 167]
['6', '250', '88', '3021', '16.5', '73', '1', '20', 166]
['6', '200', '85', '3070', '16.7', '78', '1', '20', 165]
['6', '198', '95', '2833', '15.5', '70', '1', '20', 164]
['6', '232', '100', '2945', '16', '73', '1', '20', 163]
['6', '232', '90', '3210', '17.2', '78', '1', '20', 162]
['4', '121', '112', '2868', '15.5', '73', '2', '20', 161]
['6', '168', '132', '2910', '11.4', '80', '3', '30', 160]
['6', '198', '95', '3102', '16.5', '74', '1', '20', 159]
['6', '232', '100', '2789', '15', '73', '1', '20', 158]
['6', '232', '90', '3211', '17', '75', '1', '20', 157]
['4', '114', '91', '2582', '14', '73', '2', '20', 156]
['6', '200', '85', '2965', '15.8', '78', '1', '20', 155]
['6', '225', '105', '3121', '16.5', '73', '1', '20', 154]
['6', '156', '108', '2930', '15.5', '76', '3', '20', 153]
['6', '225', '110', '3620', '18.7', '78', '1', '20', 152]
['4', '121', '110', '2660', '14', '73', '2', '20', 151]
['6', '258', '110', '3730', '19', '75', '1', '20', 150]
['6', '232', '112', '2835', '14.7', '82', '1', '20', 149]
['6', '250', '100', '3336', '17', '74', '1', '20', 148]
['6', '146', '97', '2815', '14.5', '77', '3', '20', 147]
['3', '70', '100', '2420', '12.5', '80', '3', '20', 146]
['6', '225', '95', '3785', '19', '75', '1', '20', 145]
['6', '225', '100', '3430', '17.2', '78', '1', '20', 144]
['6', '258', '110', '3632', '18', '74', '1', '20', 143]
['4', '130', '102', '3150', '15.7', '76', '2', '20', 142]
['4', '134', '96', '2702', '13.5', '75', '3', '20', 141]
['6', '225', '110', '3360', '16.6', '79', '1', '20', 140]
['6', '231', '105', '3425', '16.9', '77', '1', '20', 139]
['3', '80', '110', '2720', '13.5', '77', '3', '20', 138]
['4', '121', '112', '2933', '14.5', '72', '2', '20', 137]
['6', '231', '110', '3039', '15', '75', '1', '20', 136]
['4', '121', '98', '2945', '14.5', '75', '2', '20', 135]
['6', '232', '100', '2634', '13', '71', '1', '20', 134]
['6', '225', '95', '3264', '16', '75', '1', '20', 133]
['4', '121', '110', '2600', '12.8', '77', '2', '20', 132]
['6', '225', '100', '3630', '17.7', '77', '1', '20', 131]
['6', '225', '100', '3651', '17.7', '76', '1', '20', 130]
['6', '171', '97', '2984', '14.5', '75', '1', '20', 129]
['6', '156', '122', '2807', '13.5', '73', '3', '20', 128]
['6', '225', '85', '3465', '16.6', '81', '1', '20', 127]
['6', '225', '100', '3233', '15.4', '76', '1', '20', 126]
['6', '231', '115', '3245', '15.4', '79', '1', '20', 125]
['6', '250', '105', '3897', '18.5', '75', '1', '20', 124]
['6', '146', '120', '2930', '13.8', '81', '3', '20', 123]
['6', '232', '100', '3288', '15.5', '71', '1', '20', 122]
['6', '250', '88', '3302', '15.5', '71', '1', '20', 121]
['6', '231', '105', '3380', '15.8', '78', '1', '20', 120]
['8', '260', '110', '4060', '19', '77', '1', '20', 119]
['6', '250', '100', '3329', '15.5', '71', '1', '20', 118]
['6', '250', '110', '3520', '16.4', '77', '1', '20', 117]
['6', '173', '110', '2725', '12.6', '81', '1', '20', 116]
['6', '163', '133', '3410', '15.8', '78', '2', '20', 115]
['6', '250', '88', '3139', '14.5', '71', '1', '20', 114]
['6', '231', '110', '3415', '15.8', '81', '1', '20', 113]
['6', '250', '105', '3459', '16', '75', '1', '20', 112]
['8', '260', '110', '3365', '15.5', '78', '1', '20', 111]
['6', '258', '110', '2962', '13.5', '71', '1', '20', 110]
['6', '250', '100', '3282', '15', '71', '1', '20', 109]
['6', '225', '105', '3613', '16.5', '74', '1', '20', 108]
['6', '225', '105', '3439', '15.5', '71', '1', '20', 107]
['6', '250', '100', '3781', '17', '74', '1', '20', 106]
['6', '258', '120', '3410', '15.1', '78', '1', '20', 105]
['6', '250', '110', '3645', '16.2', '76', '1', '20', 104]
['8', '350', '125', '3900', '17.4', '79', '1', '20', 103]
['6', '163', '125', '3140', '13.6', '78', '2', '20', 102]
['6', '250', '105', '3353', '14.5', '76', '1', '20', 101]
['6', '168', '120', '3820', '16.7', '76', '2', '20', 100]
['8', '262', '110', '3221', '13.5', '75', '1', '20', 99]
['8', '267', '125', '3605', '15', '79', '1', '20', 98]
['8', '305', '130', '3840', '15.4', '79', '1', '20', 97]
['6', '231', '165', '3445', '13.4', '78', '1', '20', 96]
['8', '318', '135', '3830', '15.2', '79', '1', '20', 95]
['8', '305', '145', '3425', '13.2', '78', '1', '20', 94]
['8', '302', '139', '3205', '11.2', '78', '1', '20', 93]
['8', '302', '139', '3570', '12.8', '78', '1', '20', 92]
['8', '302', '129', '3725', '13.4', '79', '1', '20', 91]
['8', '304', '150', '3433', '12', '70', '1', '20', 90]
['8', '318', '140', '3735', '13.2', '78', '1', '20', 89]
['8', '307', '130', '3504', '12', '70', '1', '20', 88]
['8', '304', '120', '3962', '13.9', '76', '1', '20', 87]
['8', '351', '142', '4054', '14.3', '79', '1', '20', 86]
['8', '318', '150', '3399', '11', '73', '1', '20', 85]
['8', '318', '150', '3436', '11', '70', '1', '20', 84]
['8', '318', '150', '3777', '12.5', '73', '1', '20', 83]
['8', '302', '130', '4295', '14.9', '77', '1', '20', 82]
['8', '351', '138', '3955', '13.2', '79', '1', '20', 81]
['8', '302', '140', '4141', '14', '74', '1', '20', 80]
['8', '318', '140', '4080', '13.7', '78', '1', '20', 79]
['8', '360', '150', '3940', '13', '79', '1', '20', 78]
['8', '350', '155', '4360', '14.9', '79', '1', '20', 77]
['8', '302', '140', '3449', '10.5', '70', '1', '20', 76]
['8', '305', '145', '3880', '12.5', '77', '1', '20', 75]
['8', '304', '150', '3672', '11.5', '72', '1', '20', 74]
['8', '318', '145', '4140', '13.7', '77', '1', '20', 73]
['8', '304', '150', '3892', '12.5', '72', '1', '20', 72]
['8', '350', '165', '3693', '11.5', '70', '1', '20', 71]
['8', '351', '149', '4335', '14.5', '77', '1', '20', 70]
['8', '318', '150', '4135', '13.5', '72', '1', '20', 69]
['8', '350', '145', '4082', '13', '73', '1', '20', 68]
['8', '318', '150', '4498', '14.5', '75', '1', '20', 67]
['8', '318', '150', '4190', '13', '76', '1', '20', 66]
['8', '383', '170', '3563', '10', '70', '1', '20', 65]
['8', '305', '140', '4215', '13', '76', '1', '20', 64]
['8', '350', '145', '4440', '14', '75', '1', '20', 63]
['8', '302', '129', '3169', '12', '75', '1', '10', 62]
['8', '302', '130', '3870', '15', '76', '1', '10', 61]
['8', '318', '150', '3755', '14', '76', '1', '10', 60]
['8', '304', '193', '4732', '18.5', '70', '1', '10', 59]
['8', '400', '190', '4325', '12.2', '77', '1', '20', 58]
['8', '400', '150', '3761', '9.5', '70', '1', '20', 57]
['8', '350', '170', '4165', '11.4', '77', '1', '20', 56]
['8', '302', '140', '4294', '16', '72', '1', '10', 55]
['8', '350', '180', '4380', '12.1', '76', '1', '20', 54]
['8', '455', '225', '3086', '10', '70', '1', '10', 53]
['8', '302', '137', '4042', '14.5', '73', '1', '10', 52]
['8', '304', '150', '4257', '15.5', '74', '1', '10', 51]
['8', '400', '180', '4220', '11.1', '77', '1', '20', 50]
['8', '318', '150', '4077', '14', '72', '1', '10', 49]
['8', '307', '130', '4098', '14', '72', '1', '10', 48]
['8', '318', '150', '3940', '13.2', '76', '1', '10', 47]
['8', '390', '190', '3850', '8.5', '70', '1', '20', 46]
['8', '318', '150', '4237', '14.5', '73', '1', '10', 45]
['8', '307', '200', '4376', '15', '70', '1', '10', 44]
['8', '304', '150', '3672', '11.5', '73', '1', '10', 43]
['8', '350', '145', '3988', '13', '73', '1', '10', 42]
['8', '302', '140', '4638', '16', '74', '1', '10', 41]
['8', '351', '153', '4154', '13.5', '71', '1', '10', 40]
['8', '350', '180', '3664', '11', '73', '1', '10', 39]
['8', '429', '198', '4341', '10', '70', '1', '20', 38]
['8', '318', '150', '4096', '13', '71', '1', '10', 37]
['8', '350', '175', '4100', '13', '73', '1', '10', 36]
['8', '400', '170', '4668', '11.5', '75', '1', '20', 35]
['8', '351', '153', '4129', '13', '72', '1', '10', 34]
['8', '400', '230', '4278', '9.5', '73', '1', '20', 33]
['8', '360', '175', '3821', '11', '73', '1', '10', 32]
['8', '351', '152', '4215', '12.8', '76', '1', '10', 31]
['8', '350', '145', '4055', '12', '76', '1', '10', 30]
['8', '318', '210', '4382', '13.5', '70', '1', '10', 29]
['8', '350', '160', '4456', '13.5', '72', '1', '10', 28]
['8', '318', '150', '4457', '13.5', '74', '1', '10', 27]
['8', '351', '158', '4363', '13', '73', '1', '10', 26]
['8', '350', '150', '4699', '14.5', '74', '1', '10', 25]
['8', '350', '155', '4502', '13.5', '72', '1', '10', 24]
['8', '360', '215', '4615', '14', '70', '1', '10', 23]
['8', '350', '165', '4209', '12', '71', '1', '10', 22]
['8', '350', '165', '4274', '12', '72', '1', '10', 21]
['8', '400', '190', '4422', '12.5', '72', '1', '10', 20]
['8', '351', '148', '4657', '13.5', '75', '1', '10', 19]
['8', '400', '175', '4385', '12', '72', '1', '10', 18]
['8', '350', '180', '4499', '12.5', '73', '1', '10', 17]
['8', '360', '170', '4654', '13', '73', '1', '10', 16]
['8', '340', '160', '3609', '8', '70', '1', '10', 15]
['8', '400', '150', '4464', '12', '73', '1', '10', 14]
['8', '400', '175', '4464', '11.5', '71', '1', '10', 13]
['8', '400', '150', '4997', '14', '73', '1', '10', 12]
['8', '400', '170', '4746', '12', '71', '1', '10', 11]
['8', '400', '167', '4906', '12.5', '73', '1', '10', 10]
['8', '429', '208', '4633', '11', '72', '1', '10', 9]
['8', '455', '225', '4425', '10', '70', '1', '10', 8]
['8', '440', '215', '4735', '11', '73', '1', '10', 7]
['8', '454', '220', '4354', '9', '70', '1', '10', 6]
['8', '440', '215', '4312', '8.5', '70', '1', '10', 5]
['8', '429', '198', '4952', '11.5', '73', '1', '10', 4]
['8', '383', '180', '4955', '11.5', '71', '1', '10', 3]
['8', '400', '175', '5140', '12', '71', '1', '10', 2]
['8', '455', '225', '4951', '11', '73', '1', '10', 1]
